2016-12-30	63195	1580	157	1516	4320	152	96	1032	1790	25415	2409	16	2065	7504	773	24	2014	2684	3213	1056	19	1599	5050	696	36	1739	26287	46405	2017-02-07 10:49:43
2016-12-31	48740	1301	68	1181	3475	62	63	765	914	24881	1796	23	5438	6693	590	48	1489	3286	4820	1122	39	1266	5321	1934	196	1838	28135	50176	2017-02-07 10:50:31
2017-01-01	46189	1600	62	2076	4996	518	130	1626	1792	21293	1542	21	1576	4353	159	56	907	1784	2373	710	6	876	2882	493	22	930	16298	13931	2017-02-07 10:56:01
2017-01-02	55996	1667	80	2542	5681	203	299	2072	1964	24191	2088	22	2616	5193	339	75	1565	2560	2968	769	2	770	3752	226	4	1383	20367	21563	2017-02-07 10:56:58
2017-01-03	76615	2029	24	2316	7211	652	161	2218	2649	27375	2349	14	2247	6524	555	106	1600	2264	2727	984	43	827	4336	187	11	1078	21352	25642	2017-02-07 10:57:58
2017-01-04	74284	2228	41	2498	7005	222	151	1498	2769	28517	2563	10	3175	7861	214	184	1458	2604	2979	1019	14	780	4009	440	115	919	22276	25950	2017-02-07 10:59:01
2017-01-05	70293	2315	131	2104	6649	391	51	1587	2002	27125	2620	57	2080	6429	480	75	1713	2637	2462	489	2	984	3407	270	28	860	20732	27899	2017-02-07 10:59:58
2017-01-06	60014	1885	209	2086	5111	343	159	1783	2037	25474	2371	16	1451	5879	369	42	1597	2210	2636	762	2	560	2566	341	75	1147	18720	26623	2017-02-07 11:00:59
2017-01-07	53415	1542	23	1811	4272	509	136	1466	1722	22587	1996	3	2451	6630	355	113	1340	1854	3024	649	69	881	2328	316	48	796	17263	27564	2017-02-07 11:01:56
2017-01-08	50781	1720	24	1990	5308	619	113	2273	1559	26384	2771	1	2616	6767	508	98	1471	2614	2582	552	5	896	3514	395	37	1550	20478	33520	2017-02-07 11:02:53
2017-01-09	64807	1927	153	2119	5500	543	61	1637	1902	30791	2543	27	2260	7604	614	120	2067	2380	2605	654	3	871	3579	297	85	1382	22023	33563	2017-02-07 11:03:46
2017-01-10	82377	2427	27	2104	7107	224	109	1549	2646	33940	3956	1	2371	8438	824	139	1842	2962	3074	1584	29	1094	4645	238	164	1316	24724	36592	2017-02-07 11:04:38
2017-01-11	90973	3171	32	2589	8186	436	56	2009	3290	37256	3065	24	3780	9344	791	68	2711	3804	2745	774	31	1095	5102	308	64	1414	22717	45680	2017-02-07 11:05:29
2017-01-12	88980	2409	73	2093	6443	367	97	1502	2714	38938	3760	22	3033	8846	483	47	2116	3315	3508	1145	6	1199	4990	384	24	1251	33696	55663	2017-02-07 11:06:19
2017-01-13	74979	2428	40	2110	6061	569	99	1528	2537	32521	2674	7	2004	8401	249	71	2021	2767	2614	1098	23	881	3570	314	140	1487	27569	44558	2017-02-07 11:07:11
2017-01-14	64334	1769	61	1223	5405	216	43	1390	1818	28535	2805	0	2559	7269	352	117	1132	2605	2875	1068	7	674	3733	609	100	1244	20070	37862	2017-02-07 11:08:01
2017-01-15	58745	1771	37	1488	6078	235	44	1617	1942	30697	2087	0	2450	7097	532	120	2221	3137	3617	664	12	713	4250	371	107	1263	22865	43322	2017-02-07 11:08:57
2017-01-16	70917	2406	357	1977	5880	826	63	1842	3094	31504	3396	10	2986	8108	401	167	1746	3901	3040	1053	149	857	4135	315	58	1193	22861	42298	2017-02-07 11:09:51
2017-01-17	88256	2186	216	2007	6687	583	57	1556	2504	39159	3524	66	2291	7795	442	63	1783	3499	3852	1034	26	1113	4553	393	9	1479	25067	42497	2017-02-07 11:10:51
2017-01-18	85735	2439	200	2477	6449	617	230	1847	2923	40179	3233	2	3212	8076	365	219	2645	3878	2974	1189	57	795	5331	477	99	1719	25331	48515	2017-02-07 11:11:51
