from_rec_miss	2016-08-01	154329
now_rec_miss	2016-08-01	12196
from_rec_miss	2016-08-02	168022
now_rec_miss	2016-08-02	12439
from_rec_miss	2016-08-03	154397
now_rec_miss	2016-08-03	10705
from_rec_miss	2016-08-04	154654
now_rec_miss	2016-08-04	10708
from_rec_miss	2016-08-05	145959
now_rec_miss	2016-08-05	10733
from_rec_miss	2016-08-06	106844
now_rec_miss	2016-08-06	7787
from_rec_miss	2016-08-07	109765
now_rec_miss	2016-08-07	8291
from_rec_miss	2016-08-08	153031
now_rec_miss	2016-08-08	11456
from_rec_miss	2016-08-09	166567
now_rec_miss	2016-08-09	11149
from_rec_miss	2016-08-10	151642
now_rec_miss	2016-08-10	10256
from_rec_miss	2016-08-11	152531
now_rec_miss	2016-08-11	10091
from_rec_miss	2016-08-12	148824
now_rec_miss	2016-08-12	9649
from_rec_miss	2016-08-13	114519
now_rec_miss	2016-08-13	8524
from_rec_miss	2016-08-14	120471
now_rec_miss	2016-08-14	8861
from_rec_miss	2016-08-15	154745
now_rec_miss	2016-08-15	11179
from_rec_miss	2016-08-16	170283
now_rec_miss	2016-08-16	11519
from_rec_miss	2016-08-17	185597
now_rec_miss	2016-08-17	12655
from_rec_miss	2016-08-18	170418
now_rec_miss	2016-08-18	11435
from_rec_miss	2016-08-19	145029
now_rec_miss	2016-08-19	9612
from_rec_miss	2016-08-20	98853
now_rec_miss	2016-08-20	6571
from_rec_miss	2016-08-21	110211
now_rec_miss	2016-08-21	8405
from_rec_miss	2016-08-22	150042
now_rec_miss	2016-08-22	10918
from_rec_miss	2016-08-23	159569
now_rec_miss	2016-08-23	10471
from_rec_miss	2016-08-24	159838
now_rec_miss	2016-08-24	10398
from_rec_miss	2016-08-25	156274
now_rec_miss	2016-08-25	10118
from_rec_miss	2016-08-26	137813
now_rec_miss	2016-08-26	9212
from_rec_miss	2016-08-27	103760
now_rec_miss	2016-08-27	7242
from_rec_miss	2016-08-28	112198
now_rec_miss	2016-08-28	8217
from_rec_miss	2016-08-29	143182
now_rec_miss	2016-08-29	10055
from_rec_miss	2016-08-30	217995
now_rec_miss	2016-08-30	11771
from_rec_miss	2016-08-31	197585
now_rec_miss	2016-08-31	10612
