gohappy_Weblog_count	2016-10-02	442274	2016-10-03 13:50:41
gohappy_orderlist_count	2016-10-02	7083	2016-10-03 13:50:48
gohappy_gid_GG	2016-10-02	0	2016-10-03 13:56:45
gohappy_category_GC	2016-10-02	0	2016-10-03 13:56:56
gohappy_vensession_count	2016-10-02	83699	2016-10-03 13:57:04
gohappy_venguid_count	2016-10-02	70523	2016-10-03 13:57:11
gohappy_ureason_session_multi-guid	2016-10-02	48	2016-10-03 13:58:07
gohappy_ureason_gop_count_session	2016-10-02	1	2016-10-03 13:59:16
gohappy_Weblog_count	2016-10-03	659602	2016-10-04 10:39:23
gohappy_orderlist_count	2016-10-03	9158	2016-10-04 10:39:28
gohappy_Goods_gid	2016-10-03	0	2016-10-04 10:39:44
gohappy_GC_categ_gid	2016-10-03	15917	2016-10-04 10:39:55
gohappy_Goods_gid	2016-10-02	0	2016-10-03 13:51:18
gohappy_gid_GoodsWeblog	2016-10-03	2271	2016-10-04 10:41:22
gohappy_uid_null	2016-10-03	0	2016-10-04 10:41:32
gohappy_orderno_null	2016-10-03	0	2016-10-04 10:41:41
gohappy_gid_OderListGoods	2016-10-03	1757	2016-10-04 10:41:56
gohappy_uid_OderListWeblog	2016-10-03	683	2016-10-04 10:43:24
gohappy_category_code	2016-10-03	0	2016-10-04 10:43:48
gohappy_gid_GG	2016-10-03	0	2016-10-04 10:44:39
gohappy_category_GC	2016-10-03	0	2016-10-04 10:44:51
gohappy_vensession_count	2016-10-03	201907	2016-10-04 10:45:01
gohappy_venguid_count	2016-10-03	182735	2016-10-04 10:45:08
gohappy_GC_categ_gid	2016-10-02	15886	2016-10-03 13:51:31
gohappy_ureason_session_multi-guid	2016-10-03	45	2016-10-04 10:46:09
gohappy_ureason_gop_count_session	2016-10-03	0	2016-10-04 10:47:11
gohappy_gid_GoodsWeblog	2016-10-02	1910	2016-10-03 13:53:42
gohappy_uid_null	2016-10-02	0	2016-10-03 13:54:29
gohappy_orderno_null	2016-10-02	0	2016-10-03 13:54:40
gohappy_gid_OderListGoods	2016-10-02	1247	2016-10-03 13:55:00
gohappy_uid_OderListWeblog	2016-10-02	635	2016-10-03 13:56:30
gohappy_category_code	2016-10-02	0	2016-10-03 13:56:35
